"url","Headline","Headline2","Author","Content","Provider","Date","Date_link","_url_input"
"https://apnews.com/article/congress-900-billion-coronavirus-bill-75389549d3eaf2f3828b16d45c9706e6","$900B COVID relief bill passed by Congress, sent to Trump","","","WASHINGTON (AP) — Congress passed a $900 billion pandemic relief package Monday night that would finally deliver long-sought cash to businesses and individuals and resources to vaccinate a nation... ","apnews.com","2020-12-21T05:28:53Z","","https://apnews.com/article/congress-900-billion-coronavirus-bill-75389549d3eaf2f3828b16d45c9706e6"
"https://apnews.com/article/us-news-home-schooling-mississippi-coronavirus-pandemic-bf3984a4be2679de28b7770e50ff0616","US public school enrollment dips as virus disrupts education","","","Fearful of sending her two children back to school as the coronavirus pandemic raged in Mississippi, Angela Atkins decided to give virtual learning a chance this fall. Almost immediately, it... ","apnews.com","2020-12-22T06:07:01Z","","https://apnews.com/article/us-news-home-schooling-mississippi-coronavirus-pandemic-bf3984a4be2679de28b7770e50ff0616"
"https://apnews.com/article/homicide-cape-town-africa-south-africa-only-on-ap-fb11beaaedfe580c3c3b2c3cd5cbde6d","In South Africa, child homicides show violence 'entrenched'","","","CAPE TOWN, South Africa (AP) — At night, Amanda Zitho worries her little boy is shivering and cold in his coffin and yearns to take him a blanket. She knows Wandi’s dead and gone and it’s... ","apnews.com","2020-12-22T07:59:05Z","","https://apnews.com/article/homicide-cape-town-africa-south-africa-only-on-ap-fb11beaaedfe580c3c3b2c3cd5cbde6d"
"https://apnews.com/article/nba-returns-10-things-to-know-f4e314983e0b38856a9ff8e8e18d2610","Welcome back, NBA: Here's 10 things to know about the season","","","And ... it’s back. The NBA’s new season starts Tuesday with a pair of games; Kevin Durant and the Brooklyn Nets welcoming Durant’s former team in Golden State, while the defending champion... ","apnews.com","2020-12-22T07:21:17Z","","https://apnews.com/article/nba-returns-10-things-to-know-f4e314983e0b38856a9ff8e8e18d2610"
"https://apnews.com/article/covid-bill-end-surprise-medical-bills-d17da7204ade433d20ea8305c2d0538c","Consumer relief: COVID bill to end 'surprise' medical bills ","","","WASHINGTON (AP) — People with private health insurance will see the nasty shock of “surprise” medical bills virtually gone, thanks to the coronavirus compromise passed by Congress. The... ","apnews.com","2020-12-22T05:17:01Z","","https://apnews.com/article/covid-bill-end-surprise-medical-bills-d17da7204ade433d20ea8305c2d0538c"
"https://apnews.com/article/technology-politics-ron-wyden-russia-hacking-572ac201e8f365cf6ec218b478742aa0","Senator: Treasury Dept. email accounts compromised in hack","","","WASHINGTON (AP) — Dozens of email accounts at the Treasury Department were compromised in a massive breach of U.S. government agencies being blamed on Russia, with hackers breaking into systems... ","apnews.com","2020-12-22T01:55:53Z","","https://apnews.com/article/technology-politics-ron-wyden-russia-hacking-572ac201e8f365cf6ec218b478742aa0"
"https://apnews.com/article/hawaii-volcano-kilauea-big-island-erupts-506654609db9ec7041e6054c877df092","Volcano erupts on Hawaii's Big Island, draws crowds to park","","","HONOLULU (AP) — Kilauea volcano on Hawaii’s Big Island roared back to life Sunday night as lava went shooting into the air, boiling away a water lake and sending a massive plume of steam, gas and... ","apnews.com","2020-12-21T09:07:01Z","","https://apnews.com/article/hawaii-volcano-kilauea-big-island-erupts-506654609db9ec7041e6054c877df092"
"https://apnews.com/article/election-2020-joe-biden-donald-trump-mo-brooks-elections-927d23e741ff7b2ca73afe734ffe278d","Trump, House lawmakers plot futile effort to block Biden win","","","WASHINGTON (AP) — President Donald Trump hosted several House Republican lawmakers at the White House on Monday to discuss an ultimately futile effort to block Congress from affirming... ","apnews.com","2020-12-22T03:38:23Z","","https://apnews.com/article/election-2020-joe-biden-donald-trump-mo-brooks-elections-927d23e741ff7b2ca73afe734ffe278d"
"https://apnews.com/article/william-barr-lockerbie-bombing-charges-30480afc0f3f09229ce4429d0448baeb","Justice Dept. charges bombmaker in 1988 Pan Am explosion","","","WASHINGTON (AP) — The Justice Department announced new charges Monday against a Libyan bombmaker in the 1988 explosion of Pan Am Flight 103 over Lockerbie, Scotland, an attack that killed 259... ","apnews.com","2020-12-21T15:48:48Z","","https://apnews.com/article/william-barr-lockerbie-bombing-charges-30480afc0f3f09229ce4429d0448baeb"
"https://apnews.com/article/fox-newsmax-smartmatic-dominion-lawsuits-826071eb5b52ec8aea6b0028da78c61c","Fox, Newsmax shoot down their own aired claims on election","","","NEW YORK (AP) — Two election technology companies whose names have come up in President Donald Trump's false charges of widespread voter fraud in the presidential election are fighting back,... ","apnews.com","2020-12-21T23:35:32Z","","https://apnews.com/article/fox-newsmax-smartmatic-dominion-lawsuits-826071eb5b52ec8aea6b0028da78c61c"
